N,frame,theta,angular velocity,angular acc,time
0,340,-0.0730105,0.594925,0.773002,3.4
0,341,-0.0669898,0.602073,0.714867,3.41
0,342,-0.0609034,0.608633,0.656009,3.42
0,343,-0.0547574,0.614598,0.596485,3.43
0,344,-0.0485578,0.619962,0.536355,3.44
0,345,-0.0423106,0.624719,0.47568,3.45
0,346,-0.036022,0.628864,0.414521,3.46
0,347,-0.0296981,0.632393,0.352939,3.47
0,348,-0.023345,0.635303,0.290998,3.48
0,349,-0.0169691,0.637591,0.228761,3.49
0,350,-0.0105766,0.639254,0.16629,3.5
0,351,-0.0041737,0.64029,0.103649,3.51
0,352,0.00223329,0.640699,0.0409021,3.52
0,353,0.0086381,0.64048,-0.0218863,3.53
0,354,0.0150344,0.639634,-0.0846523,3.54
0,355,0.021416,0.63816,-0.147332,3.55
0,356,0.0277767,0.636062,-0.209861,3.56
0,357,0.0341101,0.63334,-0.272176,3.57
0,358,0.04041,0.629998,-0.334214,3.58
0,359,0.0466704,0.626039,-0.395911,3.59
0,360,0.0528851,0.621467,-0.457204,3.6
0,361,0.059048,0.616286,-0.518032,3.61
0,362,0.065153,0.610503,-0.578334,3.62
0,363,0.0711942,0.604123,-0.638048,3.63
0,364,0.0771657,0.597151,-0.697114,3.64
0,365,0.0830617,0.589597,-0.755474,3.65
0,366,0.0888764,0.581466,-0.813069,3.66
0,367,0.094604,0.572768,-0.869842,3.67
0,368,0.100239,0.56351,-0.925737,3.68
0,369,0.105776,0.553703,-0.980699,3.69
0,370,0.11121,0.543357,-1.03467,3.7
0,371,0.116535,0.53248,-1.08761,3.71
0,372,0.121745,0.521086,-1.13946,3.72
0,373,0.126837,0.509184,-1.19016,3.73
0,374,0.131805,0.496788,-1.23967,3.74
0,375,0.136644,0.483908,-1.28795,3.75
0,376,0.14135,0.470558,-1.33495,3.76
0,377,0.145917,0.456752,-1.38062,3.77
0,378,0.150342,0.442503,-1.42492,3.78
0,379,0.154621,0.427825,-1.46781,3.79
0,380,0.158748,0.412732,-1.50925,3.8
0,381,0.16272,0.39724,-1.5492,3.81
0,382,0.166534,0.381364,-1.58763,3.82
0,383,0.170185,0.365119,-1.6245,3.83
0,384,0.17367,0.348521,-1.65978,3.84
0,385,0.176986,0.331587,-1.69343,3.85
0,386,0.18013,0.314333,-1.72542,3.86
0,387,0.183097,0.296775,-1.75574,3.87
0,388,0.185887,0.278932,-1.78434,3.88
0,389,0.188495,0.26082,-1.81122,3.89
0,390,0.190919,0.242457,-1.83633,3.9
0,391,0.193158,0.22386,-1.85966,3.91
0,392,0.195208,0.205048,-1.8812,3.92
0,393,0.197069,0.186039,-1.90092,3.93
0,394,0.198737,0.166851,-1.9188,3.94
0,395,0.200212,0.147502,-1.93483,3.95
0,396,0.201493,0.128012,-1.949,3.96
0,397,0.202577,0.1084,-1.96129,3.97
0,398,0.203463,0.0886826,-1.9717,3.98
0,399,0.204152,0.0688804,-1.98021,3.99
0,400,0.204642,0.0490122,-1.98682,4
0,401,0.204933,0.029097,-1.99153,4.01
0,402,0.205025,0.00915379,-1.99432,4.02
0,403,0.204917,-0.0107982,-1.9952,4.03
0,404,0.204609,-0.0307398,-1.99416,4.04
0,405,0.204103,-0.0506519,-1.99121,4.05
0,406,0.203398,-0.0705154,-1.98635,4.06
0,407,0.202495,-0.0903112,-1.97958,4.07
0,408,0.201394,-0.11002,-1.97091,4.08
0,409,0.200098,-0.129624,-1.96035,4.09
0,410,0.198607,-0.149103,-1.9479,4.1
0,411,0.196923,-0.168439,-1.93358,4.11
0,412,0.195047,-0.187613,-1.91739,4.12
0,413,0.192981,-0.206606,-1.89936,4.13
0,414,0.190727,-0.225401,-1.87949,4.14
0,415,0.188287,-0.243979,-1.85781,4.15
0,416,0.185664,-0.262322,-1.83433,4.16
0,417,0.182859,-0.280413,-1.80907,4.17
0,418,0.179877,-0.298234,-1.78205,4.18
0,419,0.176719,-0.315767,-1.7533,4.19
